card1,card2,interaction
pressure,shift,Shift relocates the pressure before it can complete its work.
pressure,focus,Focus concentrates the pressure into a single decisive point.
pressure,opening,Opening releases the pressure into available space.
pressure,closure,Closure seals the pressure inside a finished structure.
alignment,giving,Giving extends the alignment outward into exchange.
alignment,conflict,Conflict fractures the alignment against a position it had not accounted for.
alignment,holding,Holding stabilises the alignment and prevents premature movement.
alignment,withdrawal,Withdrawal removes a piece the alignment had organised around.
alignment,expansion,Expansion scales the alignment beyond what it was calibrated for.
alignment,dispersal,Dispersal splits the alignment into uncoordinated parts.
alignment,pressure,Pressure loads the alignment and reveals whether it holds.
alignment,alignment,Alignment locks the configuration and seals the working position.
alignment,shift,Shift moves the ground the alignment was built on.
alignment,focus,Focus narrows the alignment to its operative point.
alignment,opening,Opening expands the alignment into a wider configuration.
alignment,closure,Closure finalises the alignment as the working position.
shift,giving,Giving offers a stable point inside the shift.
shift,conflict,Conflict halts the shift and compels a decision before the move completes.
shift,holding,Holding stops the shift and locks the new position before it has settled.
shift,withdrawal,Withdrawal releases the shift and removes resistance to the move.
shift,expansion,Expansion enlarges the shift past its intended endpoint.
shift,dispersal,Dispersal splits the shift into multiple incomplete moves.
shift,pressure,Pressure pins the shift to a single direction.
shift,alignment,Alignment turns the shift into deliberate repositioning.
shift,shift,Shift compounds the motion and removes clarity about direction.
shift,focus,Focus narrows the shift to a specific change.
shift,opening,Opening releases the shift into wider possibility.
shift,closure,Closure stops the shift and fixes the new position.
focus,giving,Giving extends the focus into directed action.
focus,conflict,Conflict fractures the focus and disperses attention onto opposing demands.
focus,holding,Holding sustains the focus past its useful point.
focus,withdrawal,Withdrawal removes the object the focus was tracking.
focus,expansion,Expansion widens the focus and dissolves its precision.
focus,dispersal,Dispersal scatters the focus across too many points.
focus,pressure,Pressure intensifies the focus into a cutting edge.
focus,alignment,Alignment locks the focus as correctly directed.
focus,shift,Shift moves the target the focus had locked onto.
focus,focus,Focus narrows on itself and loses the peripheral signal.
focus,opening,Opening releases the focus into a wider field of attention.
focus,closure,Closure completes the focus into finished work.
opening,giving,Giving moves into the opening and fills the available channel.
opening,conflict,Conflict closes the opening and replaces possibility with opposition.
opening,holding,Holding pauses the opening and screens what should be admitted.
opening,withdrawal,Withdrawal abandons the opening before anything passes through.
opening,expansion,Expansion enlarges the opening into wider access.
opening,dispersal,Dispersal scatters what the opening had made available.
opening,pressure,Pressure loads the opening and reveals whether it holds its width.
opening,alignment,Alignment organises the opening into a deliberate channel.
opening,shift,Shift redirects the opening toward an unintended destination.
opening,focus,Focus narrows the opening to a single point of access.
opening,opening,Opening expands beyond structure and removes the boundary entirely.
opening,closure,Closure seals the opening and ends the available access.
closure,giving,Giving reopens the closure by offering something the closed position cannot refuse.
closure,conflict,Conflict fractures the closure and reopens what had been settled.
closure,holding,Holding seals the closure and makes the ending permanent.
closure,withdrawal,Withdrawal disengages from the closure and leaves the ending unattended.
closure,expansion,Expansion stretches the closure and breaks the ending.
closure,dispersal,Dispersal splits the closure into unfinished fragments.
closure,pressure,Pressure loads the closure and reveals whether the ending holds.
closure,alignment,Alignment orders the next configuration around the closure.
closure,shift,Shift moves past the closure and starts new movement.
closure,focus,Focus refines the closure to what specifically has ended.
closure,opening,Opening reverses the closure and reopens what had been sealed.
closure,closure,Closure reinforces the ending and prevents further movement.
